date,visit_count
2016-07,17
2016-08,111
2016-09,127
2016-10,139
2016-11,116
2016-12,154
2017-01,112
2017-02,122
2017-03,147
2017-04,128
2017-05,148
2017-06,146
2017-07,157
2017-08,162
2017-09,152
2017-10,157
2017-11,156
2017-12,190
2018-01,110
2018-02,128
2018-03,168
2018-04,139
2018-05,164
2018-06,154
2018-07,124
2018-08,173
2018-09,129
2018-10,142
2018-11,159
2018-12,189
2019-01,130
2019-02,175
2019-03,174
2019-04,173
2019-05,178
2019-06,161
2019-07,181
2019-08,189
2019-09,173
2019-10,189
2019-11,191
2019-12,174
2020-01,156
2020-02,169
2020-03,127
2020-04,123
2020-05,146
2020-06,126
2020-07,92
2020-08,135
2020-09,155
2020-10,158
2020-11,143
2020-12,210
2021-01,145
2021-02,146
2021-03,111
2021-04,135
2021-05,138
2021-06,133
2021-07,161
2021-08,147
2021-09,155
2021-10,154
2021-11,125
2021-12,173
2022-01,106
2022-02,131
2022-03,148
2022-04,137
2022-05,131
2022-06,148
2022-07,129
2022-08,136
2022-09,145
2022-10,136
2022-11,131
2022-12,162
2023-01,106
2023-02,112
2023-03,139
2023-04,124
2023-05,113
2023-06,129
2023-07,129
2023-08,127
2023-09,121
2023-10,125
2023-11,132
2023-12,135
2024-01,96
2024-02,105
2024-03,124
2024-04,120
2024-05,79
